"","date","E2","E5","E1","E3","P1","P3","P4","P6","P7","P8","P9","P2","E4","P5"
"81",2019-10-04 08:00:00,4.2,3.5,3.8,2.7,0.333214285714286,0.171,0.371666666666667,0.958,0.212758620689655,0.078,0.272413793103448,0.691724137931034,NA,NA
"82",2019-10-04 09:00:00,1.9,5.1,9.4,7.8,0.186521739130435,0.191333333333333,0.564,1.07866666666667,0.213571428571429,0.0964285714285714,1.124,1.65566666666667,NA,NA
"83",2019-10-04 10:00:00,2.3,11.1,8.4,2.7,0.256538461538462,0.299666666666667,0.93,1.64966666666667,0.359666666666667,0.151481481481481,1.29233333333333,2.67333333333333,NA,NA
"84",2019-10-04 11:00:00,1.3,2.7,5.8,4.7,0.427666666666667,0.457333333333333,1.06466666666667,1.50035714285714,0.509655172413793,0.319259259259259,1.16866666666667,1.921,NA,NA
"85",2019-10-04 12:00:00,6.5,3.6,8.8,4.9,0.766,1.19,1.47866666666667,2.36290322580645,0.999333333333333,0.568709677419355,2.64166666666667,4.39033333333333,NA,NA
"86",2019-10-04 13:00:00,3.4,4.1,7,0.4,1.10533333333333,1.02133333333333,1.86333333333333,3.36633333333333,0.541034482758621,0.232916666666667,2.78310344827586,7.16258064516129,NA,NA
"87",2019-10-04 14:00:00,6.1,5.9,7,7.8,0.555555555555556,0.264545454545455,1.049375,4.54166666666667,0.341818181818182,0.218333333333333,0.203333333333333,0.661666666666667,NA,NA
"88",2019-10-04 15:00:00,10.2,4.9,4.8,7.5,0.203461538461538,0.0733333333333333,0.142142857142857,0.205238095238095,0.045,0.12,0.15,0.257826086956522,NA,NA
"89",2019-10-04 16:00:00,2.7,3.5,6.6,3,0.294,0.213,0.288333333333333,0.183,0.596875,0.23,0.146,0.464074074074074,NA,NA
"90",2019-10-04 17:00:00,2.7,3.6,5.8,0.3,0.337931034482759,0.638620689655172,0.477,0.569333333333333,0.19,0.0775,0.451481481481481,0.971666666666667,NA,NA
"91",2019-10-04 18:00:00,0.2,4.2,7.2,1.3,0.415666666666667,0.527692307692308,0.301052631578947,0.494,0.444333333333333,0.1025,0.0818181818181818,0.4656,NA,NA
"92",2019-10-04 19:00:00,3.6,2.6,5.8,2.9,0.170909090909091,0.4205,0.243333333333333,0.196785714285714,0.556206896551724,0.115555555555556,0.181333333333333,0.213181818181818,NA,NA
"93",2019-10-04 20:00:00,0.3,8.3,2.8,1.1,0.19,0.164090909090909,0.3525,0.555172413793103,0.828965517241379,0.115,0.289444444444444,0.317333333333333,NA,NA
"94",2019-10-04 21:00:00,3.6,8.9,1.1,1.5,0.3512,0.193928571428571,0.2765,0.713333333333333,0.674666666666667,0.0971428571428571,0.371071428571429,0.626333333333333,NA,NA
"95",2019-10-04 22:00:00,1.3,2.9,5.8,8.9,0.541333333333333,0.347586206896552,0.441,0.608,0.911333333333333,0.207,0.445666666666667,0.797333333333333,NA,NA
"96",2019-10-04 23:00:00,3.8,2.3,5.4,9.4,0.524333333333333,0.428333333333333,1.03666666666667,1.15766666666667,1.22966666666667,0.667878787878788,0.672666666666667,1.09033333333333,NA,NA
"97",2019-10-05 00:00:00,3.9,3,8.2,7.4,0.796333333333333,1.038,1.67966666666667,1.55451612903226,2.49724137931034,1.23029411764706,0.731666666666667,1.10233333333333,NA,NA
"98",2019-10-05 01:00:00,6.6,9.3,6.6,4.4,1.34933333333333,5.00533333333333,4.65366666666667,1.558,6.188,3.60117647058824,3.06366666666667,3.75633333333333,NA,NA
"99",2019-10-05 02:00:00,6.6,5.9,6.6,1.5,4.73,7.078,8.716,6.98466666666667,8.723,12.026875,4.519,5.34030303030303,NA,NA
"100",2019-10-05 03:00:00,6.4,2.2,6.8,10.4,7.212,1.78666666666667,2.986,5.33933333333333,2.289,5.02166666666667,0.917777777777778,1.745,NA,NA
"101",2019-10-05 04:00:00,3.6,3,8,5.1,1.46233333333333,0.84,1.14266666666667,4.72466666666667,0.983,0.551470588235294,0.582333333333333,2.252,NA,NA
"102",2019-10-05 05:00:00,2.1,4.2,8.8,8.3,1.62266666666667,0.677666666666667,0.918333333333333,11.7053333333333,1.00133333333333,0.568387096774194,0.495714285714286,1.49161290322581,NA,NA
"103",2019-10-05 06:00:00,8.9,4.8,7,16.5,3.049,1.092,1.24733333333333,7.95233333333333,1.259,0.827714285714286,1.00344827586207,1.79133333333333,NA,NA
"104",2019-10-05 07:00:00,7.3,7.8,8.8,7.7,3.79966666666667,3.74966666666667,4.222,13.2286666666667,1.87466666666667,0.967142857142857,3.94533333333333,6.47366666666667,NA,NA
"105",2019-10-05 08:00:00,5.3,8.8,10.8,4.9,8.91866666666667,9.536,9.91633333333333,17.0136666666667,7.136,4.4090625,7.66,9.889,NA,NA
"106",2019-10-05 09:00:00,5.4,4.2,11.4,7.4,10.4816666666667,8.71466666666667,10.0796666666667,22.1713333333333,9.59433333333333,7.62466666666667,7.052,8.86033333333333,NA,NA
